STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/11/1980,0,70,40
USC00447338,"ROCKY MOUNT, VA US",5/11/1980,0,,
USC00445213,"MANASSAS, VA US",5/11/1980,0,,
USC00444044,"HOLLAND 1 E, VA US",5/11/1980,0,72,35
USC00448829,"WALKERTON 2 NW, VA US",5/12/1980,0,90,61
USC00442208,"DALE ENTERPRISE, VA US",5/12/1980,,85,55
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/12/1980,0,79,53
USC00447338,"ROCKY MOUNT, VA US",5/12/1980,0,81,58
USC00445213,"MANASSAS, VA US",5/12/1980,0,91,
USC00444044,"HOLLAND 1 E, VA US",5/12/1980,0,81,61
USC00448829,"WALKERTON 2 NW, VA US",5/13/1980,0,87,71
USC00442208,"DALE ENTERPRISE, VA US",5/13/1980,0,82,63
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/13/1980,0,85,62
USC00447338,"ROCKY MOUNT, VA US",5/13/1980,0,87,58
USC00445213,"MANASSAS, VA US",5/13/1980,0,89,65
USC00444044,"HOLLAND 1 E, VA US",5/13/1980,0,89,65
USC00448829,"WALKERTON 2 NW, VA US",5/14/1980,0,85,66
USC00442208,"DALE ENTERPRISE, VA US",5/14/1980,0,76,61
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/14/1980,0,81,60
USC00447338,"ROCKY MOUNT, VA US",5/14/1980,0,80,57
USC00445213,"MANASSAS, VA US",5/14/1980,0,83,62
USC00444044,"HOLLAND 1 E, VA US",5/14/1980,0,88,68
USC00448829,"WALKERTON 2 NW, VA US",5/15/1980,0,77,50
USC00442208,"DALE ENTERPRISE, VA US",5/15/1980,0,67,38
USC00448062,"STAUNTON WATER TREATMENT PLANT, VA US",5/15/1980,0,76,37
USC00447338,"ROCKY MOUNT, VA US",5/15/1980,0,80,48
USC00445213,"MANASSAS, VA US",5/15/1980,0,80,43
USC00444044,"HOLLAND 1 E, VA US",5/15/1980,0,85,55
